title,channel,video_url,views,likes,comments,publishedAt,duration
Qui aura les lunettes piégées ?,SQUEEZIE,https://www.youtube.com/watch?v=d3chiw-71sU,556854,41764,60,2024-04-17T17:00:19Z,PT16S
Maxence a un problème...,SQUEEZIE,https://www.youtube.com/watch?v=xHWSbLh1poQ,474720,26568,37,2024-04-14T17:00:27Z,PT39S
Qui va manger le piment?,SQUEEZIE,https://www.youtube.com/watch?v=hmfqaRnnaz8,529498,29888,38,2024-04-11T17:00:33Z,PT38S
On s'affronte en combat de Sumo,SQUEEZIE,https://www.youtube.com/watch?v=-pGzRv-O-6Y,185998,8899,43,2024-03-24T18:00:00Z,PT52S
Carlito devient fou pour un gâteau,SQUEEZIE,https://www.youtube.com/watch?v=-V9aLVCza-o,154994,9759,31,2024-03-21T18:00:00Z,PT46S
J'offre une boîte à cris à McFly & Carlito,SQUEEZIE,https://www.youtube.com/watch?v=hwgfAyQ1meY,1126496,88606,64,2024-03-17T18:00:18Z,PT48S
Elle est psycho-rigide,SQUEEZIE,https://www.youtube.com/watch?v=4MlLnd2-CNE,1912040,99520,196,2024-03-14T18:00:02Z,PT56S
Maghla se prend un énorme stop,SQUEEZIE,https://www.youtube.com/watch?v=me36CP89ESs,1023178,44076,100,2024-03-11T18:00:19Z,PT18S
Hugo est un sorcier,SQUEEZIE,https://www.youtube.com/watch?v=LF7JjvGc40s,369997,23250,22,2024-03-08T18:00:18Z,PT58S
Elle rigole à la pire blague,SQUEEZIE,https://www.youtube.com/watch?v=7iyWMETFCIM,867294,37505,54,2024-03-05T18:00:04Z,PT54S
Le happening légendaire de Billy,SQUEEZIE,https://www.youtube.com/watch?v=Qdusp1B-uHs,259418,13848,26,2024-03-01T18:00:18Z,PT58S
Leur complicité est incroyable,SQUEEZIE,https://www.youtube.com/watch?v=5IhXRb3XmD0,2902191,160912,264,2024-02-27T18:00:02Z,PT54S
Maxime met une clim à sa prof,SQUEEZIE,https://www.youtube.com/watch?v=WZYv5448_wQ,2178000,115534,201,2024-02-24T18:00:15Z,PT58S
Vous croyez au premier amour ?,SQUEEZIE,https://www.youtube.com/watch?v=QKFWIYxmIAs,338442,15100,130,2024-02-22T18:00:10Z,PT48S
J'arnaque mes amis,SQUEEZIE,https://www.youtube.com/watch?v=_44BHJHKffg,980086,53778,20,2024-02-20T18:00:15Z,PT46S
Mister V tabasse un enfant,SQUEEZIE,https://www.youtube.com/watch?v=fy8oyMhBDn4,86202,5040,28,2024-02-18T18:00:17Z,PT42S
Gotaga affronte sa phobie du vide,SQUEEZIE,https://www.youtube.com/watch?v=Ys4ac66UmeQ,68798,3960,23,2024-02-15T18:00:15Z,PT59S
